id,čas
16,4.218333333333334
201,4.218333333333334
1,4.218333333333334
165,4.218333333333334
143,4.218333333333334
41,4.218333333333334
77,4.218333333333334
18,4.218333333333334
36,4.218333333333334
25,4.218333333333334
21,4.218333333333334
91,4.218333333333334
71,4.218333333333334
11,4.218333333333334
151,4.218333333333334
61,4.218333333333334
198,4.218333333333334
28,4.218333333333334
82,4.218333333333334
111,4.218333333333334
12,4.218333333333334
131,4.218333333333334
147,4.218333333333334
22,4.218333333333334
184,4.218333333333334
152,4.218333333333334
124,4.220277777777778
5,4.220555555555555
141,4.221388888888889
177,4.221388888888889
85,4.2219444444444445
38,4.223333333333334
128,4.2250000000000005
6,4.226666666666667
86,4.227777777777778
96,4.23
14,4.23
55,4.234444444444445
188,4.234444444444445
45,4.234444444444445
105,4.2380555555555555
218,4.240833333333334
168,4.240833333333334
64,4.240833333333334
163,4.251666666666667
13,4.253055555555555
153,4.253055555555555
2,4.253611111111111
137,4.256666666666667
107,4.256666666666667
97,4.256666666666667
47,4.256666666666667
173,4.256666666666667
133,4.256666666666667
125,4.256666666666667
191,4.256666666666667
175,4.256666666666667
142,4.256666666666667
208,4.256666666666667
196,4.256666666666667
211,4.256666666666667
63,4.262222222222222
23,4.262222222222222
46,4.266666666666667
178,4.268055555555556
94,4.271111111111111
93,4.271111111111111
166,4.276388888888889
117,4.276388888888889
115,4.2775
44,4.2775
76,4.2775
42,4.2775
116,4.2813888888888885
33,4.282777777777778
27,4.284722222222222
88,4.284722222222222
132,4.284722222222222
121,4.284722222222222
122,4.284722222222222
182,4.285555555555556
58,4.285833333333334
92,4.2875
87,4.289722222222222
157,4.295277777777778
154,4.295277777777778
102,4.299722222222222
194,4.299722222222222
156,4.299722222222222
158,4.299722222222222
62,4.299722222222222
68,4.299722222222222
66,4.299722222222222
72,4.299722222222222
74,4.299722222222222
65,4.299722222222222
207,4.301111111111111
84,4.301111111111111
73,4.3025
43,4.303055555555555
215,4.3133333333333335
138,4.3133333333333335
197,4.3133333333333335
145,4.321111111111111
146,4.321111111111111
7,4.321111111111111
8,4.321111111111111
35,4.322777777777778
167,4.322777777777778
51,4.322777777777778
56,4.322777777777778
54,4.322777777777778
95,4.322777777777778
134,4.322777777777778
78,4.322777777777778
213,4.322777777777778
34,4.322777777777778
37,4.322777777777778
104,4.322777777777778
192,4.322777777777778
214,4.322777777777778
135,4.322777777777778
193,4.322777777777778
113,4.322777777777778
15,4.326666666666666
144,4.336944444444444
148,4.336944444444444
108,4.336944444444444
106,4.336944444444444
181,4.336944444444444
101,4.336944444444444
183,4.336944444444444
114,4.336944444444444
127,4.336944444444444
164,4.3438888888888885
202,4.344722222222222
112,4.344722222222222
83,4.346666666666667
216,4.346666666666667
24,4.346666666666667
26,4.346666666666667
155,4.354444444444444
161,4.356111111111111
126,4.356111111111111
204,4.370833333333333
171,4.371388888888888
172,4.371388888888888
31,4.371388888888888
67,4.371388888888888
176,4.374444444444444
17,4.378333333333333
203,4.378333333333333
195,4.378333333333333
123,4.394444444444445
98,4.396666666666667
187,4.410277777777778
75,4.410277777777778
217,4.410277777777778
185,4.410277777777778
3,4.417222222222223
206,4.431666666666667
53,4.453333333333333
212,4.454444444444444
162,4.461944444444445
57,4.466111111111111
52,4.466111111111111
48,4.466111111111111
205,4.566666666666666
